Book Name,Author,Rating,Customers_Rated,Price
A Promised Land,Barack Obama,4.9 out of 5 stars,"36,481",$21.75
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,4.8 out of 5 stars,"21,927",$11.98
Quit Like a Woman: The Radical Choice to Not Drink in a Culture Obsessed with Alcohol,Holly Whitaker,4.5 out of 5 stars,919,$17.99
Untamed,Glennon Doyle,4.6 out of 5 stars,"32,955",$11.12
Greenlights,Matthew McConaughey,4.7 out of 5 stars,"13,620",$18.00
"2021 The Legacy of Ruth Bader Ginsburg Wall Calendar: Her Words of Hope, Equality and Inspiration ― A yearlong tribute…",Sourcebooks,4.9 out of 5 stars,"1,070",$7.49
"Prayer Journal for Women: 52 Week Scripture, Devotional & Guided Prayer Journal",Shannon Roberts,4.8 out of 5 stars,"19,454",$9.95
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7 out of 5 stars,"37,376",$5.72
The Vanishing Half: A Novel,Brit Bennett,4.5 out of 5 stars,"28,082",$16.78
Let That Sh*t Go: A Journal for Leaving Your Bullsh*t Behind and Creating a Happy Life (Zen as F*ck Journals),Monica Sweeney,4.7 out of 5 stars,"10,144",$8.99
Disney Dreams Collection by Thomas Kinkade Studios: 2021 Wall Calendar,Thomas Kinkade,4.9 out of 5 stars,"1,745",$7.49
"The Daily Stoic: 366 Meditations on Wisdom, Perseverance, and the Art of Living",Ryan Holiday,4.8 out of 5 stars,"8,983",$13.32
Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,Pretty Simple Press,4.6 out of 5 stars,"15,584",$6.99
"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,4.8 out of 5 stars,"37,895",$20.69
"Forgiving What You Can't Forget: Discover How to Move On, Make Peace with Painful Memories, and Create a Life That’s…",Lysa TerKeurst,4.9 out of 5 stars,"2,427",$14.99
